iter	Passed	Remaining
626	4372	2601
627	4374	2591
628	4378	2582
629	4389	2577
630	4392	2568
631	4395	2559
632	4412	2558
633	4416	2549
634	4422	2541
635	4430	2535
636	4441	2530
637	4445	2522
638	4449	2513
639	4451	2503
640	4460	2498
641	4463	2488
642	4473	2483
643	4477	2475
644	4483	2467
645	4492	2461
646	4496	2453
647	4507	2448
648	4509	2438
649	4526	2437
650	4530	2428
651	4542	2424
652	4544	2415
653	4555	2410
654	4558	2401
655	4561	2392
656	4565	2383
657	4568	2374
658	4572	2366
659	4574	2356
660	4588	2353
661	4591	2344
662	4596	2336
663	4599	2327
664	4600	2317
665	4604	2309
666	4609	2301
667	4625	2298
668	4629	2290
669	4638	2284
670	4641	2275
671	4644	2266
672	4649	2259
673	4651	2249
674	4664	2245
675	4670	2238
676	4673	2229
677	4689	2227
678	4702	2223
679	4707	2215
680	4710	2206
681	4714	2198
682	4724	2192
683	4737	2188
684	4739	2179
685	4751	2175
686	4756	2167
687	4760	2158
688	4763	2150
689	4768	2142
690	4770	2133
691	4789	2131
692	4792	2122
693	4797	2115
694	4804	2108
695	4813	2102
696	4815	2093
697	4819	2085
698	4829	2079
699	4832	2071
700	4845	2066
701	4849	2058
702	4859	2053
703	4863	2045
704	4878	2041
705	4880	2032
706	4887	2025
707	4891	2017
708	4894	2008
709	4897	2000
710	4904	1993
711	4921	1990
712	4937	1987
713	4943	1980
714	4952	1974
715	4955	1965
716	4961	1958
717	4965	1950
718	4970	1942
719	4973	1934
720	4979	1926
721	4982	1918
722	4992	1912
723	5006	1908
724	5009	1900
725	5022	1895
726	5025	1887
727	5029	1879
728	5032	1870
729	5041	1864
730	5044	1856
731	5047	1847
732	5052	1840
733	5055	1832
734	5069	1827
735	5073	1819
736	5091	1816
737	5094	1808
738	5105	1803
739	5107	1794
740	5111	1786
741	5114	1778
742	5118	1770
743	5121	1762
744	5130	1755
745	5136	1748
746	5151	1744
747	5153	1736
748	5155	1727
749	5169	1723
750	5173	1715
751	5187	1710
752	5199	1705
753	5202	1697
754	5213	1691
755	5225	1686
756	5228	1678
757	5256	1678
758	5266	1672
759	5275	1666
760	5278	1657
761	5282	1649
762	5290	1643
763	5292	1634
764	5294	1626
765	5308	1621
766	5322	1616
767	5327	1609
768	5342	1604
769	5357	1600
770	5360	1592
771	5372	1586
772	5374	1578
773	5382	1571
774	5386	1563
775	5390	1555
776	5402	1550
777	5406	1542
778	5408	1534
779	5420	1528
780	5431	1523
781	5440	1516
782	5447	1509
783	5452	1502
784	5456	1494
785	5460	1486
786	5463	1478
787	5467	1471
788	5472	1463
789	5477	1456
790	5480	1448
791	5484	1440
792	5487	1432
793	5497	1426
794	5505	1419
795	5513	1413
796	5525	1407
797	5532	1400
798	5535	1392
799	5538	1384
800	5542	1376
801	5549	1370
802	5551	1361
803	5554	1354
804	5558	1346
805	5561	1338
806	5564	1330
807	5567	1323
808	5570	1315
809	5572	1307
810	5583	1301
811	5587	1293
812	5589	1285
813	5606	1281
814	5623	1276
815	5663	1277
816	5668	1269
817	5681	1264
818	5684	1256
819	5696	1250
820	5713	1245
821	5721	1239
822	5723	1230
823	5728	1223
824	5736	1216
825	5746	1210
826	5759	1204
827	5762	1197
828	5765	1189
829	5767	1181
830	5778	1175
831	5784	1167
832	5787	1160
833	5790	1152
834	5809	1147
835	5818	1141
836	5829	1135
837	5833	1127
838	5835	1119
839	5841	1112
840	5844	1104
841	5847	1097
842	5850	1089
843	5859	1083
844	5871	1077
845	5879	1070
846	5888	1063
847	5892	1056
848	5896	1048
849	5906	1042
850	5915	1035
851	5918	1028
852	5928	1021
853	5930	1013
854	5968	1012
855	5977	1005
856	5981	998
857	5997	992
858	6000	984
859	6004	977
860	6029	973
861	6032	965
862	6043	959
863	6053	952
864	6069	947
865	6073	939
866	6083	933
867	6092	926
868	6104	920
869	6111	913
870	6119	906
871	6128	899
872	6131	891
873	6136	884
874	6139	877
875	6144	869
876	6154	863
877	6164	856
878	6167	849
879	6177	842
880	6190	836
881	6202	829
882	6205	822
883	6221	816
884	6236	810
885	6245	803
886	6256	797
887	6259	789
888	6272	783
889	6275	775
890	6282	768
891	6294	762
892	6299	754
893	6302	747
894	6315	740
895	6327	734
896	6339	727
897	6352	721
898	6360	714
899	6371	707
900	6374	700
901	6377	692
902	6385	685
903	6388	678
904	6404	672
905	6407	664
906	6411	657
907	6431	651
908	6435	644
909	6441	637
910	6452	630
911	6462	623
912	6470	616
913	6479	609
914	6482	602
915	6486	594
916	6490	587
917	6498	580
918	6506	573
919	6512	566
920	6525	559
921	6535	552
922	6540	545
923	6555	539
924	6560	531
925	6572	525
926	6591	519
927	6618	513
928	6634	507
929	6637	499
930	6648	492
931	6656	485
932	6662	478
933	6676	471
934	6679	464
935	6691	457
936	6696	450
937	6707	443
938	6710	435
939	6716	428
940	6729	421
941	6734	414
942	6746	407
943	6750	400
944	6754	393
945	6774	386
946	6777	379
947	6789	372
948	6795	365
949	6804	358
950	6808	350
951	6821	343
952	6832	336
953	6835	329
954	6846	322
955	6857	315
956	6860	308
957	6867	301
958	6878	294
959	6886	286
960	6890	279
961	6893	272
962	6906	265
963	6910	258
964	6925	251
965	6938	244
966	6946	237
967	6962	230
968	6965	222
969	6975	215
970	6988	208
971	6993	201
972	6997	194
973	7009	187
974	7013	179
975	7025	172
976	7029	165
977	7038	158
978	7043	151
979	7046	143
980	7051	136
981	7059	129
982	7079	122
983	7082	115
984	7085	107
985	7095	100
986	7102	93
987	7109	86
988	7126	79
989	7137	72
990	7147	64
991	7150	57
992	7160	50
993	7163	43
994	7171	36
995	7178	28
996	7182	21
997	7189	14
998	7195	7
999	7199	0
